ID,Materia,Subtopico,Dificuldade,Tempo_Min
0,Física,Cinemática,4.0,11
1,Física,Ondulatória,4.0,14
2,Português,Gramática,1.1,5
3,Matemática,Cálculo,1.8,7
4,Português,Literatura Brasileira,2.8,12
5,Matemática,Combinatória,4.2,12
6,História,Medieval,1.9,3
7,Física,Óptica,1.4,6
8,História,Contemporânea,1.2,2
9,Português,Gramática,3.2,11
10,Geografia,Ambiental,1.8,8
11,Biologia,Ecologia,4.9,18
12,Física,Óptica,2.1,6
13,Química,Orgânica,2.4,10
14,Física,Eletromagnetismo,3.5,9
15,Química,Inorgânica,2.5,10
16,Biologia,Evolução,2.3,4
17,Biologia,Citologia,4.2,10
18,Biologia,Botânica,4.5,16
19,Inglês,Grammar,4.5,12
20,História,Medieval,2.0,6
21,Português,Redação,2.6,6
22,Inglês,Reading,4.0,11
23,Química,Eletroquímica,2.7,9
24,Inglês,Vocabulary,2.0,4
25,Física,Ondulatória,4.5,17
26,Geografia,Física,2.2,4
27,História,Brasil República,4.0,10
28,História,Contemporânea,3.6,9
29,Geografia,Humana,3.2,11
30,Matemática,Cálculo,2.3,2
31,Biologia,Citologia,2.0,4
32,Física,Ondulatória,2.9,12
33,Química,Físico-Química,3.6,9
34,História,Brasil República,4.5,12
35,Biologia,Evolução,2.2,9
36,Geografia,Cartografia,4.6,12
37,Biologia,Citologia,2.4,6
38,Biologia,Citologia,1.3,2
39,Física,Cinemática,4.4,12
40,História,Moderna,2.9,11
41,Inglês,Reading,4.1,11
42,Física,Cinemática,3.6,11
43,Inglês,Vocabulary,1.2,6
44,Física,Cinemática,2.6,11
45,Física,Dinâmica,1.8,4
46,Português,Literatura Brasileira,2.1,4
47,Inglês,Vocabulary,1.4,6
48,Matemática,Álgebra,4.7,13
49,Português,Semântica,2.9,6
50,Química,Inorgânica,1.0,7
51,Inglês,Grammar,2.7,12
52,Inglês,Reading,1.8,3
53,Matemática,Estatística,2.3,7
54,Química,Atomística,4.8,13
55,Física,Eletromagnetismo,1.3,4
56,Física,Eletromagnetismo,2.0,8
57,Física,Óptica,3.6,10
